name,teryt,powiat_easting,powiat_northing,hexagon_easting,hexagon_northing
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,607846.4800810287,545296.1269822202
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,647498.2015287584,476617.3308271836
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,647498.2015287584,499510.2628788623
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,746627.5051480833,510956.72890470177
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,627672.3408048935,510956.72890470177
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,667324.0622526235,488063.7968530229
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,627672.3408048935,533849.6609563808
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,687149.9229764882,476617.3308271836
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,607846.4800810287,522403.19493054127
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,647498.2015287584,522403.19493054127
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,627672.3408048935,556742.5930080597
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,667324.0622526235,510956.72890470177
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,706975.7837003535,488063.7968530229
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,687149.9229764882,499510.2628788623
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,627672.3408048935,579635.5250597384
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,726801.6444242181,499510.2628788623
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,647498.2015287584,545296.1269822202
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,706975.7837003535,510956.72890470177
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,667324.0622526235,533849.6609563808
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,746627.5051480833,533849.6609563808
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,647498.2015287584,568189.0590338991
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,687149.9229764882,613974.9231372569
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,687149.9229764882,522403.19493054127
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,667324.0622526235,602528.4571114173
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,726801.6444242181,522403.19493054127
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,667324.0622526235,556742.5930080597
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,706975.7837003535,533849.6609563808
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,607846.4800810287,568189.0590338991
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,647498.2015287584,591081.991085578
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,726801.6444242181,568189.0590338991
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,687149.9229764882,545296.1269822202
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,687149.9229764882,568189.0590338991
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,726801.6444242181,545296.1269822202
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,706975.7837003535,556742.5930080597
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,687149.9229764882,591081.991085578
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,706975.7837003535,579635.5250597384
M.st. Warszawa,1465,639815.1941935503,486779.2006233417,667324.0622526235,579635.5250597384
Kraków,1261,570493.5021026896,243344.5228566132,607846.4800810287,293473.87441375235
Kraków,1261,570493.5021026896,243344.5228566132,588020.6193571637,236241.544284555
Kraków,1261,570493.5021026896,243344.5228566132,627672.3408048935,304920.34043959173
Kraków,1261,570493.5021026896,243344.5228566132,588020.6193571637,259134.4763362339
Kraków,1261,570493.5021026896,243344.5228566132,607846.4800810287,270580.94236207334
Kraków,1261,570493.5021026896,243344.5228566132,588020.6193571637,213348.61223287607
Kraków,1261,570493.5021026896,243344.5228566132,607846.4800810287,224795.0782587156
Kraków,1261,570493.5021026896,243344.5228566132,627672.3408048935,282027.4083879128
Kraków,1261,570493.5021026896,243344.5228566132,607846.4800810287,247688.0103103945
Kraków,1261,570493.5021026896,243344.5228566132,627672.3408048935,259134.4763362339
Kraków,1261,570493.5021026896,243344.5228566132,647498.2015287584,270580.94236207334
Kraków,1261,570493.5021026896,243344.5228566132,647498.2015287584,247688.0103103945
Kraków,1261,570493.5021026896,243344.5228566132,647498.2015287584,224795.0782587156
Kraków,1261,570493.5021026896,243344.5228566132,627672.3408048935,213348.61223287607
Kraków,1261,570493.5021026896,243344.5228566132,627672.3408048935,236241.544284555
Kraków,1261,570493.5021026896,243344.5228566132,647498.2015287584,293473.87441375235
Wrocław,264,359822.2509371609,364234.19717515487,350110.2906707844,396492.0686463073
Wrocław,264,359822.2509371609,364234.19717515487,290632.7084991896,407938.5346721467
Wrocław,264,359822.2509371609,364234.19717515487,330284.4299469194,407938.5346721467
Wrocław,264,359822.2509371609,364234.19717515487,350110.2906707844,419385.0006979862
Wrocław,264,359822.2509371609,364234.19717515487,270806.8477753248,396492.06864630734
Wrocław,264,359822.2509371609,364234.19717515487,310458.5692230545,396492.0686463073
Wrocław,264,359822.2509371609,364234.19717515487,310458.5692230545,419385.0006979862
Wrocław,264,359822.2509371609,364234.19717515487,330284.4299469194,453724.3987755046
Wrocław,264,359822.2509371609,364234.19717515487,290632.7084991896,430831.4667238256
Wrocław,264,359822.2509371609,364234.19717515487,350110.2906707844,442277.932749665
Wrocław,264,359822.2509371609,364234.19717515487,330284.4299469194,430831.4667238256
Wrocław,264,359822.2509371609,364234.19717515487,310458.5692230545,442277.932749665
Wrocław,264,359822.2509371609,364234.19717515487,369936.15139464935,430831.4667238256
Łódź,1061,533131.8536471138,433453.56372061,548368.8979094337,465170.86480134405
Łódź,1061,533131.8536471138,433453.56372061,508717.1764617039,465170.86480134405
Łódź,1061,533131.8536471138,433453.56372061,548368.8979094337,510956.72890470177
Łódź,1061,533131.8536471138,433453.56372061,528543.0371855691,476617.3308271836
Łódź,1061,533131.8536471138,433453.56372061,528543.0371855691,499510.2628788624
Łódź,1061,533131.8536471138,433453.56372061,488891.315737839,476617.3308271836
Łódź,1061,533131.8536471138,433453.56372061,469065.455013974,488063.7968530229
Łódź,1061,533131.8536471138,433453.56372061,508717.1764617039,488063.7968530229
Łódź,1061,533131.8536471138,433453.56372061,488891.315737839,499510.2628788623
Łódź,1061,533131.8536471138,433453.56372061,508717.1764617039,510956.72890470177
Łódź,1061,533131.8536471138,433453.56372061,548368.8979094337,442277.932749665
Łódź,1061,533131.8536471138,433453.56372061,548368.8979094337,488063.7968530229
Łódź,1061,533131.8536471138,433453.56372061,528543.0371855691,453724.3987755047
Poznań,3064,358768.12543209444,506529.93472796807,290632.7084991896,545296.1269822201
Poznań,3064,358768.12543209444,506529.93472796807,270806.8477753248,533849.6609563808
Poznań,3064,358768.12543209444,506529.93472796807,330284.4299469194,591081.991085578
Poznań,3064,358768.12543209444,506529.93472796807,290632.7084991896,568189.0590338991
Poznań,3064,358768.12543209444,506529.93472796807,270806.8477753248,556742.5930080597
Poznań,3064,358768.12543209444,506529.93472796807,350110.2906707844,602528.4571114173
Poznań,3064,358768.12543209444,506529.93472796807,290632.7084991896,591081.991085578
Poznań,3064,358768.12543209444,506529.93472796807,310458.5692230545,602528.4571114173
Poznań,3064,358768.12543209444,506529.93472796807,310458.5692230545,579635.5250597384
Poznań,3064,358768.12543209444,506529.93472796807,310458.5692230545,556742.5930080597
Poznań,3064,358768.12543209444,506529.93472796807,330284.4299469194,568189.0590338991
Gdańsk,2261,485347.51736464544,728107.6688963313,488891.315737839,728439.5833956513
Gdańsk,2261,485347.51736464544,728107.6688963313,469065.455013974,716993.117369812
Gdańsk,2261,485347.51736464544,728107.6688963313,469065.455013974,739886.0494214908
Gdańsk,2261,485347.51736464544,728107.6688963313,528543.0371855691,705546.6513439725
Gdańsk,2261,485347.51736464544,728107.6688963313,488891.315737839,751332.5154473301
Gdańsk,2261,485347.51736464544,728107.6688963313,508717.1764617039,716993.117369812
Gdańsk,2261,485347.51736464544,728107.6688963313,508717.1764617039,739886.0494214908
Gdańsk,2261,485347.51736464544,728107.6688963313,548368.8979094337,716993.1173698117
Gdańsk,2261,485347.51736464544,728107.6688963313,548368.8979094337,739886.0494214908
