teryt,name,area,population
1801,bieszczadzki,113912,20940
1802,brzozowski,53933,63918
1803,dębicki,77705,133330
1804,jarosławski,102888,117015
1805,jasielski,83087,110185
1806,kolbuszowski,77316,61574
1807,krośnieński,99195,109633
1808,leżajski,58386,67439
1809,lubaczowski,130831,53374
1810,łańcucki,45184,80796
1811,mielecki,88051,133714
1812,niżański,78557,64428
1813,przemyski,121116,71742
1814,przeworski,69784,76401
1815,ropczycko-sędziszowski,54830,74063
1816,rzeszowski,114475,173842
1817,sanocki,115642,90907
1818,stalowowolski,83173,102422
1819,strzyżowski,50347,59852
1820,tarnobrzeski,52106,51503
1821,leski,83490,25696
1861,Krosno,4471,44687
1862,Przemyśl,4617,57568
1863,Rzeszów,12901,196374
1864,Tarnobrzeg,8540,44529
2001,augustowski,165940,55306
2002,białostocki,297656,155073
2003,bielski,138506,51813
2004,grajewski,96749,45180
2005,hajnowski,162352,40020
2006,kolneński,94012,36143
2007,łomżyński,135455,49911
2008,moniecki,138180,38122
2009,sejneński,85516,18992
2010,siemiatycki,145944,41660
2011,sokólski,205446,62775
2012,suwalski,130697,34839
2013,wysokomazowiecki,128891,54337
2014,zambrowski,73310,41829
2061,Białystok,10213,293413
2062,Łomża,3267,60468
2063,Suwałki,6551,68839
2201,bytowski,219220,76987
2202,chojnicki,136421,96340
2203,człuchowski,157495,53924
2204,gdański,79387,128404
2205,kartuski,112052,149799
2206,kościerski,116554,72256
2207,kwidzyński,83468,81024
2208,lęborski,70753,64130
2209,malborski,49439,61403
2210,nowodworski,67399,34065
2211,pucki,58103,90329
2212,słupski,231049,96326
2213,starogardzki,134555,125657
2214,tczewski,69713,112350
2215,wejherowski,128751,225799
2216,sztumski,73055,39124
2261,Gdańsk,26587,486271
2262,Gdynia,13520,244676
2263,Słupsk,4315,87119
2264,Sopot,1736,32743
2401,będziński,36430,146371
2402,bielski,45804,165650
2403,cieszyński,73028,176113
2404,częstochowski,152187,132529
2405,gliwicki,66471,113385
2406,kłobucki,88860,82769
2407,lubliniecki,82215,75481
2408,mikołowski,23284,99486
2409,myszkowski,47928,68592
2410,pszczyński,47142,110893
2411,raciborski,54370,100842
2412,rybnicki,22367,76807
2413,tarnogórski,64420,139161
2414,bieruńsko-lędziński,15814,59513
2415,wodzisławski,28680,151852
2416,zawierciański,100366,113734
2417,żywiecki,104006,149800
2461,Bielsko-Biała,12445,168106
2462,Bytom,6948,151691
2463,Chorzów,3332,103229
2464,Częstochowa,15972,210773
2465,Dąbrowa Górnicza,18873,115955
2466,Gliwice,13388,172628
2467,Jastrzębie-Zdrój,8534,83987
2468,Jaworzno,15241,88267
2469,Katowice,16473,282755
2470,Mysłowice,6567,72124
2471,Piekary Śląskie,3986,52699
2472,Ruda Śląska,7764,132766
2473,Rybnik,14828,132923
2474,Siemianowice Śląskie,2551,64365
2475,Sosnowiec,9116,191676
2476,Świętochłowice,1330,46112
2477,Tychy,8181,124139
2478,Zabrze,8042,156935
2479,Żory,6464,61839
2601,buski,96790,68910
2602,jędrzejowski,125683,82500
2603,kazimierski,42216,32281
2604,kielecki,224597,211639
2605,konecki,113968,75396
2606,opatowski,91091,49470
2607,ostrowiecki,61671,102552
2608,pińczowski,61288,37372
2609,sandomierski,67588,73420
2610,skarżyski,39541,70076
2611,starachowicki,52341,85424
2612,staszowski,92501,69515
2613,włoszczowski,90638,43660
2661,Kielce,10965,185478
2801,bartoszycki,130748,53830
2802,braniewski,120419,38234
2803,działdowski,95391,62296
2804,elbląski,141301,54968
2805,ełcki,111293,88771
2806,giżycki,111952,54409
2807,iławski,138518,90562
2808,kętrzyński,121300,58566
2809,lidzbarski,92499,38923
2810,mrągowski,106467,48324
2811,nidzicki,96065,30907
2812,nowomiejski,69373,42473
2813,olecki,87357,32479
2814,olsztyński,283807,128935
2815,ostródzki,176658,100597
2816,piski,177532,52946
2817,szczycieński,193315,67159
2818,gołdapski,77233,25408
2819,węgorzewski,69320,21260
2861,Elbląg,7982,114401
2862,Olsztyn,8832,169251
3001,chodzieski,68507,45813
3002,czarnkowsko-trzcianecki,180777,84585
3003,gnieźnieński,125495,142166
3004,gostyński,81029,74196
3005,grodziski,64390,51535
3006,jarociński,58848,70235
3007,kaliski,116006,82740
3008,kępiński,60833,56373
3009,kolski,101069,82751
3010,koniński,157821,128902
3011,kościański,72240,77783
3012,krotoszyński,71353,75717
3013,leszczyński,80583,58886
3014,międzychodzki,73644,35908
3015,nowotomyski,101162,75176
3016,obornicki,71104,59164
3017,ostrowski,116007,159293
3018,ostrzeszowski,77281,54900
3019,pilski,126602,131991
3020,pleszewski,71321,61723
3021,poznański,189992,436473
3022,rawicki,55345,59134
3023,słupecki,83799,57852
3024,szamotulski,111928,91662
3025,średzki,62271,59714
3026,śremski,57411,61129
3027,turecki,92978,81708
3028,wągrowiecki,103967,69099
3029,wolsztyński,67964,56827
3030,wrzesiński,70347,78080
3031,złotowski,166056,67956
3061,Kalisz,6938,95021
3062,Konin,8230,69069
3063,Leszno,3186,61396
3064,Poznań,26191,545073
3201,białogardzki,84546,45181
3202,choszczeński,132763,45248
3203,drawski,176424,54426
3204,goleniowski,161547,81782
3205,gryficki,102110,57338
3206,gryfiński,186908,78340
3207,kamieński,100752,44795
3208,kołobrzeski,72758,77407
3209,koszaliński,165345,66378
3210,myśliborski,118234,63289
3211,policki,66447,83878
